row_id,fac,direction_number,direction_name,primary_theme,secondary_theme,classification_confidence,classified_on,classification_notes,classification_status
599_3,599,3,OUR INFRASTRUCTURE,INF,INN,high,full,"Primary is INF due to explicit focus on physical infrastructure, capital planning, and master planning process. Secondary is INN due to substantial emphasis on digital health technology to improve care delivery and patient experience. The co-design element supports both themes but is fundamentally about infrastructure development.",ok
599_4,599,4,OUR PARTNERS,PAR,ACC,high,full,"Primary PAR: Core focus on partnerships (OHT linkages, community engagement, volunteerism). Secondary ACC: OHT work explicitly targets integrated care delivery and person-centred care through enhanced experiences, which aligns with seamless care delivery goals.",ok
599_5,599,5,FINANCIAL STEWARDSHIP,FIN,PAR,high,full,"Primary FIN: clear focus on financial resources, funding mechanisms, and fiscal sustainability. Secondary PAR: substantial emphasis on system engagement and industry partnerships as means to achieve financial goals.",ok
606_1,606,1,Drive clinical and academic excellence,RES,PAT,high,full,"Primary RES: Core focus on academic health sciences centre identity, teaching hospital mission, research institute, training next generation of practitioners, and research translation ('bedside research'). Secondary PAT: Quality improvement and clinical excellence are substantial supporting elements. Partnerships mentioned support both academic mission and care delivery but are means to these ends rather than a standalone theme.",ok
606_2,606,2,"Cultivate fulfilled, high-performing teams",WRK,EDI,high,full,"Primary WRK: Core focus on workforce excellence, retention, engagement, talent attraction, professional development, and staff experience. Secondary EDI: Substantial emphasis on diversity, belonging, and retention of diverse staff as critical to success — not merely mentioned but integrated into the strategic intent.",ok
606_3,606,3,Make exceptional patient and family experiences,PAT,EDI,high,full,"Primary theme is clearly patient experience (satisfaction, comfort, safety, feeling respected and informed). Secondary theme EDI is substantially present through explicit focus on culturally informed care, eliminating disparities, promoting equity, and Indigenous-specific commitments. Actions reinforce both themes (patient satisfaction + equitable access).",ok
606_4,606,4,Sustainable investment,FIN,INF,high,name_description,"Primary FIN: Core focus on resource stewardship, financial sustainability, and wise investment decisions. Secondary INF: Substantial emphasis on facilities expansion/upgrades and infrastructure to meet state-of-the-art standards. Research and technology mentions are means to the sustainability end, not a research mission focus.",ok
606_5,606,5,Health technology,INN,ACC,high,name_description,"Primary INN: Core focus on digital transformation, technology adoption, data analytics, and digital tools. Secondary ACC: Substantial emphasis on improving access to information and care, seamless/integrated care delivery through technology enablement.",ok
606_6,606,6,Strategic partnerships,PAR,ACC,high,name_description,"Primary PAR: Core focus on external partnerships, regional collaboration, Ontario Health Team participation, and interorganizational alliances. Secondary ACC: Partnerships explicitly aimed at filling care gaps, supporting home-based care, and improving regional care delivery model. The partnerships serve access goals but the strategic intent is fundamentally about building collaborative relationships.",ok
611_1,611,1,CLARIFY,ORG,GOV,high,full,"Primary ORG: Core focus on organizational identity (mission, vision, values), embedding values throughout the organization, and broader organizational culture. Secondary GOV: Substantial emphasis on board training, leadership capability development at executive level, and governance accountability structures (Hospital/Performance Improvement Plan, HSAA process). Communication activities serve organizational identity and culture-building purposes.",ok
611_2,611,2,STABILIZE,FIN,WRK,high,full,"Primary FIN: Core intent is financial stabilization — sustainable budget, PIP implementation, balanced budget goal, participatory budgeting. Secondary WRK: Substantial workforce actions including recruitment, succession planning, cross-training, hospitalist program sustainability, and retention strategies. Partnership actions (PAR) are present but serve the stabilization goal rather than being a strategic end themselves.",ok
611_3,611,3,IMPROVE,EDI,PAR,high,full,"Primary EDI: Dominant focus on cultural safety, Indigenous reconciliation (TRC Calls to Action), diverse communities, and equity. Secondary PAR: Substantial emphasis on OHT partnerships and collaborative relationships. Environmental stewardship and unified culture are present but subordinate to the equity and partnership themes.",ok
619_1,619,1,Healthcare experience,PAT,ACC,high,full,"Primary theme is PAT due to strong emphasis on patient-centered culture, safety, quality, and evidence-based practices. Secondary theme ACC is substantially present through explicit focus on access to care and care transitions. Both themes are clearly represented in description and actions.",ok
619_2,619,2,Partnerships,PAR,ACC,high,full,"Primary PAR: explicit focus on collaboration, partnerships, shared leadership. Secondary ACC: 'better integrate care' directly addresses care delivery integration and access. Community health sustainability could suggest ORG, but in context of partnerships and integration, it reinforces the collaborative care delivery model.",ok
619_3,619,3,Team well-being,WRK,EDI,high,full,"Primary WRK: Core focus on workforce well-being, culture, empowerment, and workforce sustainability. Secondary EDI: Explicit action on creating culture of equity, diversity, inclusion, and accessibility warrants secondary classification.",ok
619_4,619,4,Resource sustainability and growth,FIN,INF,high,full,"Primary FIN: 'Resource sustainability' and 'smart resource use' signal financial stewardship and efficiency. Secondary INF: Actions emphasize infrastructure (technology, physical, equipment), modernization, and expansion. 'Streamline to preserve health human resources' could suggest WRK, but in context of resource sustainability, it reads as operational efficiency to protect financial capacity for workforce.",ok
624_1,624,1,Modernizing service delivery to continuously improve outcomes,ACC,INF,high,name_description,"Primary theme is ACC based on integrated service delivery model, holistic care approach, and collaboration for cohesive patient care. Secondary theme is INF due to substantial focus on streamlining systems/processes/policies, operational efficiency, and resource optimization. Financial efficiency mentioned but operational excellence is the dominant 'how' rather than fiscal sustainability as the strategic goal.",ok
624_2,624,2,"Advancing our workplace through inclusivity, connection, wellbeing, and growth",WRK,NA,high,name_description,"Clear workforce focus: inclusivity, belonging, wellbeing, recruitment, retention, professional development, and staff growth. All core WRK concepts strongly represented. No secondary theme warranted.",ok
624_3,624,3,Pushing the boundaries of rural care,ACC,INN,high,name_description,"Primary focus is on expanding access to care outside traditional hospital settings and reaching underserved populations (ACC). Secondary theme reflects commitment to technology adoption and innovative care delivery solutions (INN). Patient-centred care mentioned but is a means to the access goal, not the primary strategic intent.",ok
624_4,624,4,Building for tomorrow,INF,PAR,high,name_description,"Primary INF: Core focus on facilities, capital planning, redevelopment, and optimizing existing spaces. Secondary PAR: 'Campus of Care' and 'integrated health services at the heart of the community' suggest external partnerships and system integration, though infrastructure planning is the dominant strategic intent.",ok
626_1,626,1,PROVIDE OUR COMMUNITIES ACCESS TO QUALITY HEALTHCARE,ACC,PAR,high,name_description,Primary focus on access to services and integrated care delivery (ACC). Secondary theme PAR reflects substantial emphasis on collaboration with partners and system integration across all three actions.,ok
626_2,626,2,"FOSTER A COLLABORATIVE WORKING ENVIRONMENT WHERE PEOPLE FEEL SUPPORTED, VALUED, AND APPRECIATED",WRK,NA,high,name_description,"Clear workforce focus: psychological safety, retention, succession planning, staff recognition, and collaborative culture all align with WRK. No substantial secondary theme present.",ok
626_3,626,3,"ENABLE OUR TEAM THROUGH IMPROVED PROCESSES, TECHNOLOGY, AND INFRASTRUCTURE",INF,INN,high,name_description,"Primary focus on infrastructure (facilities redevelopment, space optimization) and operational processes. Secondary theme INN assigned due to substantial IT/EHR system improvements and digital transformation elements. The 'enable our team' framing suggests workforce support, but the actions are clearly about infrastructure and technology as enablers, not workforce development itself.",ok
626_4,626,4,SECURE OUR FISCAL AND OPERATIONAL SUSTAINABILITY,FIN,WRK,high,full,"Primary FIN: direction name explicitly states fiscal sustainability, with actions focused on revenue diversification and integration for financial viability. Secondary WRK: recruitment strategy for attracting talent is a substantial workforce action. Regional collaboration could suggest PAR, but in context it appears to support sustainability goals rather than being a partnership end in itself.",ok
627_1,627,1,Continuously improve care and services,ACC,PAR,high,name_description,"Primary ACC: actions focus on expanding service capacity (ELDCAP beds, mental health services) and improving care delivery. Secondary PAR: OHT development is explicitly about interorganizational collaboration to serve local residents. Revenue-neutral expansion suggests both access and financial considerations, but access is the strategic intent.",ok
627_2,627,2,Collaborate to build a healthy community,PAR,ACC,high,name_description,"Primary focus on external collaboration and community partnerships (working with other organizations, advocating with residents). Secondary theme of access reflects communicating about services and ensuring community needs are met. Community volunteer development is a partnership activity rather than internal workforce.",ok
627_3,627,3,Ensure sustainable operations,FIN,INF,high,name_description,"Primary FIN: budget adherence, economical implementation, resource sufficiency all point to financial sustainability. Secondary INF: cross-training for critical functions and operational continuity reflects operational excellence and internal process resilience.",ok
632_1,632,1,People and Culture,WRK,NA,high,full,NA,ok
632_2,632,2,Specialized Excellence,PAT,INN,high,full,"Primary theme is PAT: focus on clinical pathways, quality, and patient outcomes ('clinical excellence'). Secondary theme is INN: explicit mention of digital innovation and research translation. Access component in actions supports PAT (patient-centered access). Research here is applied/translational focused on community health needs, supporting innovation rather than academic mission.",ok
632_3,632,3,Health Equity,EDI,ACC,high,full,"Primary EDI: core focus on health equity, addressing inequities, cultural communities. Secondary ACC: explicit emphasis on connecting underserved communities to care and access to services.",ok
632_4,632,4,Connected Care,ACC,PAR,high,full,"Primary ACC: core focus on integrated care delivery, seamless access, and care continuity across settings. Secondary PAR: partnerships explicitly mentioned as mechanism for delivering comprehensive care. Digital tools mentioned but serve access/integration goals rather than being the strategic focus.",ok
632_5,632,5,Personalized Experiences,PAT,NA,high,full,"Clear patient experience focus: personalized care, understanding individual needs, co-designing with patients, and delivering unparalleled patient experiences. All elements center on patient-centred care quality.",ok
632_6,632,6,Data and Digital,INN,PAT,high,name_description,"Primary focus on digital transformation, AI tools, and technology adoption (INN). Secondary theme reflects strong patient experience outcomes (seamless interactions, personalized care, improved experiences). Administrative burden reduction is a consequence of digital tools, not a separate operational focus.",ok
632_7,632,7,Campus Transformation,INF,PAT,high,name_description,"Primary INF: Core focus on capital development (Patient Care Tower, LTC facility), facilities modernization, and physical infrastructure. Secondary PAT: Explicit goal of enabling future care models and treatments through these spaces. The infrastructure serves patient care advancement, making PAT a substantial secondary theme.",ok
632_8,632,8,Partnerships,PAR,ACC,high,name_description,"Primary focus on partnerships across health, education, research, and social care sectors. Secondary theme ACC assigned because description explicitly states partnerships will 'drive 24/7 access' and 'close care gaps' — access improvement is a substantial stated outcome, not merely incidental.",ok
632_9,632,9,Sustainability,INF,FIN,high,name_description,"Primary theme is INF due to focus on capital expansion, facilities design, and infrastructure resilience. Secondary theme is FIN due to explicit mention of financial sustainability. Environmental sustainability (carbon footprint, planet health) also present but treated as operational/infrastructure concern per taxonomy guidance.",ok
632_10,632,10,Research and Education,RES,INN,high,name_description,"Primary RES: clear focus on medical/health professional education, teaching hub, and applied research program. Secondary INN: knowledge translation and rapid adoption of treatment breakthroughs represent innovation/research translation activities.",ok
638_1,638,1,"Equity, Diversity, Inclusivity & Belonging",EDI,NA,high,name_description,NA,ok
638_2,638,2,Partnerships,PAR,WRK,medium,name_description,Primary PAR based on 'maximize external partnership opportunities' and stakeholder engagement. Secondary WRK for 'engage with our Team' component. Communication plan treated as enabler for partnership/engagement goals rather than standalone theme.,ok
638_3,638,3,Safety,PAT,WRK,high,name_description,Primary PAT: patient/resident safety explicitly mentioned via technology. Secondary WRK: just culture and workplace violence mitigation are workforce-focused safety initiatives. Both themes substantially represented in actions.,ok
638_4,638,4,Seamless Care,ACC,PAT,high,name_description,"Primary ACC: focus on care transitions, optimization of flow, and service enhancement reflects access and care delivery model. Secondary PAT: collaboration with patients/families for positive experience is patient-centred care, though less prominent than the access/delivery focus.",ok
638_5,638,5,Sustainability,FIN,WRK,medium,name_description,"Direction explicitly states 'attain financial sustainability' as a key action, making FIN primary. 'Innovative talent management strategies' represents substantial WRK content (workforce sustainability, retention). Environmental initiatives mentioned but not detailed enough to warrant ORG as secondary theme.",ok
640_1,640,1,Elevate Quality Through Best Practices,PAT,ACC,high,full,"Primary theme is PAT due to strong focus on quality improvement, patient-centred care, patient outcomes, and patient/family experience. Secondary theme is ACC based on explicit mention of 'Access to Care' in key actions and 'streamline processes' in description. Both themes are substantially represented.",ok
640_2,640,2,Develop a High-Performing and Inspired Team,WRK,NA,high,full,NA,ok
640_3,640,3,Create Capacity to Serve Our Growing Population,INF,ACC,high,full,"Primary INF: Core focus on infrastructure capacity (new hospital build, optimizing existing space, capital planning). Secondary ACC: Expanding programs/services to meet population growth directly addresses access and service delivery capacity. Both themes substantially represented.",ok
644_1,644,1,Recovery,ACC,INF,medium,name_description,Direction name 'Recovery' suggests post-pandemic or crisis recovery. Actions span multiple themes but 'enhancing access to care' and 'establishing physical capacity' are most concrete. Primary ACC reflects access focus; secondary INF reflects physical capacity/infrastructure. 'Operational excellence' and 'culture of quality and safety' are supporting elements rather than primary strategic intent.,ok
644_2,644,2,People,WRK,EDI,high,name_description,"Primary WRK: Core focus on staff wellbeing, high performance, and team cultivation. Secondary EDI: Explicit commitment to EDI and reconciliation. Patient inspiration noted but actions center on workforce culture and equity.",ok
644_3,644,3,Integration,PAR,ACC,high,name_description,Primary PAR: 'health system integration' and 'collaborative partnerships' clearly indicate external integration and partnerships. Secondary ACC: 'sustainable models of care' and 'transitions in care' reflect care delivery and access. Integration as a strategic direction fundamentally concerns how the hospital connects with the broader system.,ok
646_1,646,1,People,WRK,NA,high,full,NA,ok
646_2,646,2,Growth,ACC,INF,high,full,Primary theme is ACC based on 'build and advance capabilities to provide care' and 'connect people to care'. Secondary theme INF reflects substantial focus on physical space enhancement and operational management. Technology action supports both themes but is framed as operational enablement.,ok
646_3,646,3,Community,PAR,ACC,high,full,Primary theme is PAR based on 'foster partnerships' and 'engaging with our community'. Secondary theme is ACC due to substantial focus on 'provide access to care and services' and 'everyone can access care'. The equity and inclusion elements support both themes but are means to the partnership and access goals rather than standalone EDI focus.,ok
647_1,647,1,Be a Great Place to Work,WRK,EDI,high,full,"Primary theme is clearly WRK: focus on retention, engagement, staff experience, psychological safety, and being a great workplace. Secondary theme EDI is substantially present through the explicit action on cultural diversity, anti-racism, and inclusion training. This is not merely mentioned but represents a concrete commitment with dedicated actions.",ok
647_2,647,2,Ensure Strong Foundations,FIN,INF,high,full,"Primary FIN: Core focus on financial optimization, funding access, revenue generation, and resource efficiency. Secondary INF: Substantial emphasis on operational excellence, service delivery optimization, capital upgrades, and emergency planning. EDI elements present but serve the broader operational/financial stability goal rather than being a distinct strategic thrust.",ok
647_3,647,3,Lead New Solutions,PAR,GOV,high,full,"Primary focus is on system-level partnerships, external collaboration, and community-based service development. Secondary theme reflects leadership development and strategic oversight needed to fulfill this external-facing mandate. The direction explicitly emphasizes working 'outside our walls' and 'together with others in new ways' to address system-level challenges.",ok
651_1,651,1,Sustainability,FIN,INF,high,full,"Primary FIN: revenue maximization, resource stewardship, and fiscal responsibility dominate. Secondary INF: operational efficiency, risk management, and environmental impact are operational/infrastructure concerns. Technology for efficiency could support INN, but in context of 'increase efficiency' it serves operational goals (INF).",ok
651_2,651,2,People,WRK,EDI,high,full,"Primary WRK: Core focus on workforce culture, engagement, psychological safety, learning/growth, and HR modernization. Secondary EDI: Explicit action on belonging, diversity, and EDIIA initiatives warrants secondary classification.",ok
651_3,651,3,Access,ACC,EDI,high,full,"Primary is ACC: core focus on breaking down barriers, timely access, and seamless flow. Secondary is EDI: explicit action to meet needs of diverse and marginalized people. Patient-centred services and community partnerships support the access mission rather than constituting separate strategic intents.",ok
651_4,651,4,Research,RES,INN,high,full,"Primary RES: Core focus on research programs, academic mission, and becoming globally renowned for research. Secondary INN: Substantial emphasis on data integration, rapid learning health system, and translation of discoveries into practice represents innovation and data-driven transformation.",ok
651_5,651,5,Quality,PAT,WRK,high,full,"Primary PAT: Core focus on patient safety, person-centred care, outcomes measurement, and quality improvement. Secondary WRK: Medical leadership modernization and interdisciplinary collaboration represent significant workforce/culture elements that enable the quality agenda.",ok
653_1,653,1,System Integration,PAR,ACC,high,full,"Primary PAR: Core focus on external collaboration, partnerships, and Ontario Health Team participation. Secondary ACC: Service expansion and meeting population needs through integrated delivery model. Standardization between sites supports both integration and access goals.",ok
653_2,653,2,People Centered-Care,PAT,EDI,high,full,"Primary is PAT: core focus on patient-centred care, quality excellence, patient experience, and holistic care delivery. Secondary is EDI: explicit integration of EDI principles in culture is a substantial component, not merely mentioned. The Patient Experience Partners committee and person-centered principles reinforce PAT as primary.",ok
653_3,653,3,Infrastructure,INF,INN,high,full,"Primary INF: Core focus on physical infrastructure (ED/ICU renovations), facilities, equipment, processes, and operational excellence. Secondary INN: Substantial digital transformation component (Meditech Expanse implementation, automation, data support). Quality improvement mentioned but treated as operational methodology rather than standalone theme.",ok
653_4,653,4,Health and Human Resources,WRK,NA,high,full,"Clear workforce focus: recruitment, retention, employee safety/wellness, labour relations, work environment. Final action mentions 'people-centered care' but in context of supporting clinical providers (workforce enablement), not patient experience strategy.",ok
653_5,653,5,Communication,ORG,NA,high,full,"Communication is framed as foundational to organizational effectiveness and culture ('heart of what we do', 'vehicle to get our work done'). The comprehensive framework and integration across all work aspects indicates this is about organizational excellence and how the institution operates, rather than serving a specific functional purpose like patient engagement or partnership building.",ok
653_6,653,6,Fiscal Accountability,FIN,NA,high,full,NA,ok
654_1,654,1,Build Upon Patient Centred Care Through Quality and Safety,PAT,EDI,high,full,"Primary theme is clearly patient-centred care, quality, and safety with patient engagement. Secondary theme EDI assigned due to explicit action on First Nations cultural safety and competency, which represents substantial EDI content beyond mere mention.",ok
654_2,654,2,Enhance Care Coordination and Capacity,ACC,PAR,high,full,"Primary ACC: Core focus on seamless care delivery, care transitions, access to services, and capacity building. Secondary PAR: Implicit integration with home/community care and system navigation suggests partnerships beyond hospital walls.",ok
654_3,654,3,"Embrace System Change, Grow Through Collaboration",PAR,ACC,high,full,"Primary PAR: Core focus on system integration, collaboration with partners (Ontario Health Team), and external advocacy to influence policy. Secondary ACC: Explicit mention of rural care models to grow equity of access. The direction is fundamentally about positioning the hospital within the broader health system through partnerships and advocacy.",ok
654_4,654,4,Invest in Our People,WRK,PAT,high,full,"Primary is WRK: core focus on investing in staff/clinicians, growing just culture, and training/competencies. Secondary is PAT: explicit patient focus enhancement and recognition that all staff work ultimately impacts patients. The direction fundamentally addresses workforce development with patient outcomes as the purpose.",ok
654_5,654,5,Our People,WRK,NA,medium,name_only,Direction name 'Our People' strongly suggests workforce focus. Classified as WRK based on standard healthcare strategic planning convention where 'Our People' typically refers to staff/workforce initiatives. Confidence is medium rather than high due to absence of description and actions to confirm intent.,ok
654_6,654,6,Effective Communication,ORG,NA,low,name_only,"Direction name only; no description or actions provided. 'Effective Communication' is ambiguous and could serve multiple purposes (patient engagement→PAT, staff engagement→WRK, community relations→PAR, or organizational culture→ORG). Classified as ORG by default as communication often relates to organizational culture and how the institution operates, but confidence is low due to lack of context.",ok
654_7,654,7,Technology,INN,NA,medium,name_only,"Only direction name available. 'Technology' most commonly refers to digital health, IT systems, and technology adoption in hospital strategic plans, which aligns with INN. However, without description or actions, cannot rule out infrastructure-focused technology (INF) or confirm specific intent. Classified as INN based on typical usage patterns.",ok
654_8,654,8,Resources,FIN,NA,low,name_only,"Direction name 'Resources' is highly ambiguous with no description or actions. Could refer to financial resources (FIN), human resources (WRK), or infrastructure/operational resources (INF). Defaulting to FIN as most common strategic interpretation of 'resources' in hospital planning, but confidence is low due to lack of context.",ok
654_9,654,9,Partnerships,PAR,NA,medium,name_only,"Direction name clearly indicates partnerships theme, but lack of description/actions prevents assessment of whether this refers to system integration, community partnerships, or internal collaboration. Classified as PAR based on standard interpretation of 'Partnerships' in hospital strategic planning context.",ok
655_1,655,1,Partnering with Patients & Families,PAT,ACC,high,full,"Primary theme is PAT due to strong emphasis on patient-centred care, patient/family partnership, informed decision-making, and quality care provision. Secondary theme is ACC based on explicit focus on timely access to services, coordinated care transitions, and collaborative care approach. The regional health care partner collaboration could suggest PAR, but it's framed as a means to improve care coordination rather than as a partnership goal itself.",ok
655_2,655,2,Empowering Our People,WRK,ORG,high,full,"Primary WRK: Core focus on workforce engagement, development, retention, and psychological safety ('high trust organization'). Secondary ORG: Organizational culture elements present ('high trust organization', 'continuous improvement'), but these serve the workforce empowerment goal rather than standing as independent strategic intent.",ok
655_3,655,3,Ensuring Operational Excellence,INF,FIN,high,full,"Primary INF: Focus on operational processes, infrastructure modernization, standardization, and internal efficiency. Secondary FIN: Resource optimization and sustainability of programs have clear financial stewardship intent. Data/technology use here serves operational efficiency rather than digital transformation (INN).",ok
655_4,655,4,Innovating through Partnership,PAR,INN,high,full,"Primary is PAR: all actions focus on system integration, regional partnerships, and cross-organizational collaboration. Secondary is INN: innovation is explicitly named and embedded in the approach, though partnership is the dominant strategic vehicle.",ok
656_1,656,1,"Together, empowering a meaningful patient journey",PAT,NA,high,full,"Clear patient experience focus: patient-centred care, patient/family partnerships, quality outcomes. Data collection mentioned serves quality improvement and patient journey support, reinforcing PAT rather than warranting INN as secondary.",ok
656_2,656,2,"Together, advancing a culture of team wellness",WRK,NA,high,full,"Clear workforce focus: team wellness, belonging, engagement, continuous growth, leadership development. While quality care is mentioned as an outcome, the strategic intent is staff-focused. All actions center on workforce development and culture.",ok
656_3,656,3,"Together, nurturing our Alliance ecosystem",PAR,FIN,high,full,Primary focus on Alliance ecosystem and strengthening partnerships. Financial sustainability is a substantial secondary component given 'sustainable finances' action and infrastructure investment context.,ok
656_4,656,4,"Together, enriching partnerships and growing community relationships",PAR,ACC,high,full,"Primary PAR: explicit focus on partnerships, community relationships, and OHT participation. Secondary ACC: 'seamless system of care' and collaborative response to community needs reflect integrated care delivery and access goals.",ok
656_5,656,5,"Champion diversity, equity and inclusion in everything we do",EDI,NA,high,full,NA,ok
661_1,661,1,Advance Health Equity,EDI,ACC,high,full,"Primary EDI is clear: diversity, equity, inclusion, Indigenous reconciliation, accessibility, and creating safe spaces for all. Secondary ACC reflects the substantial focus on equitable access to healthcare and integrated care experiences for specific populations (Indigenous patients, older adults). The workforce culture element is present but subordinate to the broader equity mandate.",ok
661_2,661,2,Elevate Partnerships in Care,PAR,ACC,high,full,"Primary theme is PAR based on the direction name and description emphasizing 'collaboration across all levels' and 'establishing community partnerships.' Secondary theme is ACC due to substantial focus on improving access, reducing wait times, and clinical services growth. Patient experience and quality elements are present but serve the broader partnership and access goals.",ok
661_3,661,3,Reimagine Community Health,INN,PAR,high,full,"Primary INN: Strong focus on innovation, digital transformation (EMR, digital infrastructure), analytics, and research/innovation programs. Secondary PAR: Explicit reference to Ontario Health Team and transforming healthcare journey through system integration. The 'reimagine' framing and emphasis on transformation methods (vs. specific clinical or access outcomes) reinforces innovation as the core strategic intent.",ok
661_4,661,4,Increase Joy in Work,WRK,NA,high,full,"Clear workforce focus on employee well-being, engagement, healthy work environments, and joy in work. Communication action supports staff engagement (WRK purpose), not a separate strategic intent. All elements align with workforce and culture theme.",ok
661_5,661,5,Sustain Financial Health,FIN,INF,high,full,"Primary FIN: core focus on financial health, balanced budget, and fiscal foundation for investment. Secondary INF: substantial emphasis on capital redevelopment, facility improvements, and infrastructure modernization as key investment targets.",ok
662_1,662,1,Invest in Care,INF,ACC,high,full,"Primary INF: Core focus on facilities modernization, capital equipment (CT scanner, imaging), and infrastructure redevelopment (first floor). Secondary ACC: Actions explicitly aim to reduce travel for services and accommodate growing seniors population, indicating improved local access to care.",ok
662_2,662,2,Unleash Our Potential,WRK,PAR,high,full,"Primary WRK: Core focus on workforce innovation, recruitment, retention, succession planning, and leadership development. Secondary PAR: Explicit collaboration with municipalities, townships, and communities for recruitment purposes. The 'innovation' framing is workforce-specific, not digital/technology innovation.",ok
662_3,662,3,Collaborate with Partners,PAR,NA,high,full,NA,ok
663_1,663,1,Partnering with Patients & Families,PAT,ACC,high,full,"Primary theme is clearly patient-centred care, quality care, patient engagement, and shared decision-making. Secondary theme ACC is substantially present through timely access, coordinated care transitions, and collaborative care approach. The regional health care partners reference could suggest PAR, but it's framed as care coordination rather than organizational partnerships.",ok
663_2,663,2,Empowering Our People,WRK,ORG,high,full,"Primary WRK: Core focus on workforce engagement, development, retention, and psychological safety ('high trust organization'). Secondary ORG: Includes organizational culture elements (trust, continuous improvement, knowledge transfer as institutional practice). The direction fundamentally addresses people/HR but also shapes how the organization operates culturally.",ok
663_3,663,3,Ensuring Operational Excellence,INF,FIN,high,full,"Primary INF: Focus on operational processes, infrastructure modernization, standardization, and internal efficiency. Secondary FIN: Resource optimization and sustainability of programs have clear financial stewardship intent. Data/technology use here serves operational efficiency rather than digital transformation (INN).",ok
663_4,663,4,Innovating through Partnership,PAR,INN,high,full,"Primary is PAR: all actions focus on system integration, regional partnerships, and cross-organizational collaboration. Secondary is INN: innovation is explicitly named and embedded in the approach, though partnership is the dominant strategic vehicle.",ok
